,actors,country,director,req_imdbid,year
81,"Julia Roberts, John Malkovich, George Cole, Michael Gambon","USA, UK",Stephen Frears,tt0117002,1996
82,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",USA,Wes Craven,tt0114825,1995
83,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",USA,Ted Demme,tt0115639,1996
84,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",USA,John Woo,tt0115759,1996
85,"Richard Briers, Hetta Charnley, Joan Collins, Nicholas Farrell",UK,Kenneth Branagh,tt0113403,1995
86,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",France,Mathieu Kassovitz,tt0113247,1995
87,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer","UK, Germany, USA, Canada",Nick Broomfield,tt0113283,1995
88,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",USA,Harold Becker,tt0115907,1996
89,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",USA,Wes Anderson,tt0115734,1996
90,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell",USA,Nick Castle,tt0117102,1996
91,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald",USA,John Dahl,tt0118040,1996
92,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",USA,Dennis Dugan,tt0116483,1996
93,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",USA,Clint Eastwood,tt0112579,1995
94,"Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au, Elisabeth Trissenaar",Germany,Doris Dörrie,tt0110251,1994
95,"Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop",USA,"Brian Henson, David Lane",tt0117110,1996
96,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann",USA,Robert Leacock,tt0112646,1995
97,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo","USA, Ireland",Mel Gibson,tt0112573,1995
98,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito",USA,Martin Scorsese,tt0075314,1976
99,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung",Hong Kong,Stanley Tong,tt0113326,1995
100,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon",USA,Barbet Schroeder,tt0115645,1996
101,"Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema","UK, USA, Netherlands",Jon Blair,tt0112373,1995
102,"Tobias Arnold, Ruth Sheen, Roger Lloyd Pack, Hugh O'Conor","UK, Germany, France",Benjamin Ross,tt0115033,1995
103,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson",USA,Eric Schaeffer,tt0116606,1996
104,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano",USA,Andrew Davis,tt0114536,1995
105,"Henry Czerny, Johnny Morina, Brian Dooley, Philip Dinn",Canada,John N. Smith,tt0106473,1992
106,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",USA,Reginald Hudlin,tt0103859,1992
107,"Brigitte Lin, Tony Chiu-Wai Leung, Faye Wong, Takeshi Kaneshiro",Hong Kong,Kar-Wai Wong,tt0109424,1994
108,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore",USA,David O. Russell,tt0116324,1996
109,"Jason James Richter, Melody Kay, Jack Black, Carole Finn","Germany, USA",Peter MacDonald,tt0110647,1994
110,"Maggie Cogan, Katina Pendleton",USA,Michel Negroponte,tt0110217,1995
111,"Josh Charles, Anne Heche, John Goodman, Christine Lahti",USA,Bryan Gordon,tt0114131,1995
112,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna",USA,William Friedkin,tt0113451,1995
113,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",USA,David S. Ward,tt0116130,1996
114,"Vivian Paxton, Claudette Sutherland, Michael Ornstein, Cal Bartlett","USA, UK",Dirk Shafer,tt0113756,1995
115,"Robert Redford, Michelle Pfeiffer, Stockard Channing, Joe Mantegna",USA,Jon Avnet,tt0118055,1996
116,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",USA,Mike Nichols,tt0115685,1996
117,"Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton",USA,Edward Burns,tt0112585,1995
118,"Lisa Boyle, Michael Taliferro, Emmanuel Xuereb, Tchéky Karyo",USA,Michael Bay,tt0112442,1995
119,"Stephen Lang, Ryan Slater, Yi Ding, Wang Fei",USA,Christopher Cain,tt0112342,1995
120,"Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol, James Madio",USA,Scott Kalvert,tt0112461,1995
121,"Alan Rickman, Hugh Grant, Georgina Cates, Alun Armstrong",UK,Mike Newell,tt0112427,1995
122,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young","USA, UK, France",Hal Hartley,tt0109093,1994
123,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",USA,Ron Howard,tt0112384,1995
124,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth",UK,Michael Caton-Jones,tt0114287,1995
125,"Lili Taylor, Christopher Walken, Annabella Sciorra, Edie Falco",USA,Abel Ferrara,tt0112288,1995
126,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman","USA, UK",Joel Schumacher,tt0112462,1995
127,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page","France, Italy",Luis Buñuel,tt0061395,1967
128,"Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray","UK, USA",John Boorman,tt0112495,1995
129,"Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham",USA,"Paul Auster, Wayne Wang, Harvey Wang",tt0112541,1995
130,"John Candy, Alan Alda, Rhea Perlman, Kevin Pollak","USA, Canada",Michael Moore,tt0109370,1995
131,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty",USA,Brad Silberling,tt0112642,1995
132,"Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer",USA,Spike Lee,tt0112688,1995
133,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry",USA,Frank Marshall,tt0112715,1995
134,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",USA,Tony Scott,tt0112740,1995
135,"Robert Crumb, Aline Kominsky, Charles Crumb, Maxon Crumb",USA,Terry Zwigoff,tt0109508,1994
136,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin","USA, Mexico",Robert Rodriguez,tt0112851,1995
137,"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle",USA,Carl Franklin,tt0112857,1995
138,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",USA,John McTiernan,tt0112864,1995
139,"James Duval, Rose McGowan, Johnathon Schaech, Cress Williams","USA, France",Gregg Araki,tt0112887,1995
140,"Sean Connery, Richard Gere, Julia Ormond, Ben Cross","USA, UK",Jerry Zucker,tt0113071,1995
141,"Jason James Richter, Francis Capra, Mary Kate Schellhardt, August Schellenberg","France, USA, Luxembourg",Dwight H. Little,tt0113114,1995
142,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard",USA,Iain Softley,tt0113243,1995
143,"Steven Weber, Peter Jacobson, Tom Cayler, David Thornton",USA,Christopher Ashley,tt0113464,1995
144,"Keanu Reeves, Dina Meyer, Ice-T, Takeshi Kitano","Canada, USA",Robert Longo,tt0113481,1995
145,"Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow",USA,Danny Cannon,tt0113492,1995
146,"Pauly Shore, Tia Carrere, Stanley Tucci, Brian Doyle-Murray",USA,John Fortenberry,tt0113500,1995
147,"Leo Fitzpatrick, Sarah Henderson, Justin Pierce, Joseph Chan",USA,Larry Clark,tt0113540,1995
148,"Steve Buscemi, Catherine Keener, Dermot Mulroney, Danielle von Zerneck",USA,Tom DiCillo,tt0113677,1995
149,"Scott Bakula, J. Trevor Edmond, Daniel von Bargen, Kevin J. O'Connor",USA,Clive Barker,tt0113690,1995
150,"Thomas Gibson, Ruth Marshall, Cameron Bancroft, Mia Kirshner",Canada,Denys Arcand,tt0107447,1993
151,"Chris O'Donnell, Drew Barrymore, Matthew Lillard, Richard Chaim",USA,Antonia Bird,tt0113729,1995
152,"Shannen Doherty, Jeremy London, Jason Lee, Claire Forlani",USA,Kevin Smith,tt0113749,1995
153,"Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank","USA, Japan, Australia, New Zealand",Bryan Spicer,tt0113820,1995
154,"Marina Zudina, Fay Ripley, Evan Richards, Oleg Yankovskiy","Russia, UK, Germany",Anthony Waller,tt0110604,1995
155,"Elina Löwensohn, Nic Ratner, Karl Geary, Peter Fonda",USA,Michael Almereyda,tt0110620,1994
156,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker",USA,Irwin Winkler,tt0113957,1995
157,"Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack",USA,Chris Columbus,tt0113986,1995
158,"Parker Posey, Anthony DeSando, Guillermo Díaz, Donna Mitchell",USA,Daisy von Scherler Mayer,tt0114095,1995
159,"Christopher Walken, Elias Koteas, Virginia Madsen, Eric Stoltz",USA,Gregory Widen,tt0114194,1995
160,"Mia Farrow, Tony Goldwyn, Juana Barrios, Mike Heibeck",USA,Norman René,tt0114241,1995
161,"Julianne Moore, Xander Berkeley, Dean Norris, Julie Burgess","UK, USA",Todd Haynes,tt0114323,1995
162,"Demi Moore, Gary Oldman, Robert Duvall, Lisa Andoh",USA,Roland Joffé,tt0114345,1995
163,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer","France, USA",Paul Verhoeven,tt0114436,1995
164,"Giancarlo Esposito, José Zúñiga, Stephen Gevedon, Harvey Keitel","Germany, Japan, USA",Wayne Wang,tt0114478,1995
165,"Julia Roberts, Dennis Quaid, Robert Duvall, Gena Rowlands",USA,Lasse Hallström,tt0114496,1995
166,"Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker",USA,Roger Donaldson,tt0114508,1995
167,"Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore",USA,Kathryn Bigelow,tt0114558,1995
168,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel","France, West Germany",Jacques Demy,tt0058450,1964
169,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy",USA,Martha Coolidge,tt0114663,1995
170,"Leonardo DiCaprio, David Thewlis, Romane Bohringer, Dominique Blanc","UK, France, Belgium",Agnieszka Holland,tt0114702,1995
171,"Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing",USA,Beeban Kidron,tt0114682,1995
172,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl",USA,Geoff Murphy,tt0114781,1995
173,"Andie MacDowell, John Turturro, Michael Richards, Maury Chaykin",USA,Diane Keaton,tt0114798,1995
174,"Roseanne Barr, Sandra Bernhard, Robert Best, Natane Boudreau",USA,Douglas Keeve,tt0114805,1995
175,"Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn, Giancarlo Giannini","USA, Mexico",Alfonso Arau,tt0114887,1995
176,"Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call",USA,Kevin Reynolds,tt0114898,1995
177,"John Travolta, Harry Belafonte, Kelly Lynch, Margaret Avery","France, USA",Desmond Nakano,tt0114928,1995
178,"Jeff Bridges, Ellen Barkin, John Hurt, Diane Lane",USA,Walter Hill,tt0114938,1995
179,"Albert Finney, Greta Scacchi, Matthew Modine, Julian Sands",UK,Mike Figgis,tt0109340,1994
180,"Daniel Stern, Jon Polito, Brad Sullivan, Ann Dowd",USA,Greg Beeman,tt0112602,1995
181,"Oleg Menshikov, Nikita Mikhalkov, Ingeborga Dapkunaite, Nadezhda Mikhalkova","Russia, France",Nikita Mikhalkov,tt0111579,1994
182,"Grégoire Colin, Josif Josifovski, Boris Delcevski, Dejan Velkov","Republic of Macedonia, France, UK",Milcho Manchevski,tt0110882,1994
183,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl","USA, Austria, Switzerland",Richard Linklater,tt0112471,1995
184,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford",USA,Tamra Davis,tt0112508,1995
185,"Alicia Silverstone, Jeremy London, J.T. Walsh, Lee Garlington",USA,Guy Ferland,tt0112438,1995
186,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore, Matthew McConaughey","USA, France",Herbert Ross,tt0112571,1995
187,"Brad Renfro, Aeryk Egan, Delphine French, Mona Powell",USA,Peter Horton,tt0112757,1995
188,"Jeffrey Combs, Barbara Crampton, Jonathan Fuller, Jessica Dollarhide","USA, Italy",Stuart Gordon,tt0112643,1995
189,"Chris O'Donnell, Minnie Driver, Geraldine O'Rawe, Saffron Burrows","Ireland, USA, UK",Pat O'Connor,tt0112679,1995
190,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer",USA,Kevin Smith,tt0109445,1994
191,"Marlon Brando, Johnny Depp, Faye Dunaway, Géraldine Pailhas",USA,Jeremy Leven,tt0112883,1994
192,"Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall",USA,Barry Levinson,tt0109635,1994
193,"Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter",USA,John Badham,tt0109676,1994
194,"Dylan McDermott, Nancy Travis, James Le Gros, Quentin Tarantino",USA,Jack Baran,tt0112854,1995
195,"Sigourney Weaver, Ben Kingsley, Stuart Wilson, Krystia Mova","UK, France, USA",Roman Polanski,tt0109579,1994
196,"Kathy Bates, Jennifer Jason Leigh, Judy Parfitt, Christopher Plummer",USA,Taylor Hackford,tt0109642,1995
197,"Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr",USA,"Peter Farrelly, Bobby Farrelly",tt0109686,1994
198,"Sihung Lung, Yu-Wen Wang, Chien-Lien Wu, Kuei-Mei Yang","Taiwan, USA",Ang Lee,tt0111797,1994
199,"Bruce Greenwood, Mia Kirshner, Don McKellar, Elias Koteas",Canada,Atom Egoyan,tt0109759,1994
200,"Dana Delany, Paul Mercurio, Rosie O'Donnell, Dan Aykroyd",USA,Garry Marshall,tt0109758,1994
201,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette",USA,Tim Burton,tt0109707,1994
202,"Meg Ryan, Kevin Kline, Timothy Hutton, Jean Reno","UK, USA",Lawrence Kasdan,tt0113117,1995
203,"Billy Crystal, Debra Winger, Joe Mantegna, Cynthia Stevenson",USA,Billy Crystal,tt0113097,1995
204,"Mimi Rogers, Bruce Davison, Jesse Bradford, Tom Bower",USA,Phillip Borsos,tt0113028,1995
205,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin","USA, Australia, France, Canada",Kevin Lima,tt0113198,1995
206,"Jeff Goldblum, Christine Lahti, Alicia Silverstone, Jeremy Sisto",USA,Brett Leonard,tt0113303,1995
207,"Samuel L. Jackson, Matthew Modine, Nancy Travis, Eric Stoltz",USA,Carlo Carlei,tt0113089,1995
208,"Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein, Caroline Cellier","France, Italy, Belgium, UK",Gérard Corbiau,tt0109771,1994
209,"Doug Stone, Kristy Young, James Donadio, Deborah Hobart",USA,Mark Lewis,tt0113199,1995
210,"William Gates, Arthur Agee, Emma Gates, Curtis Gates",USA,Steve James,tt0110057,1994
211,"Melanie Lynskey, Kate Winslet, Sarah Peirse, Diana Kent","New Zealand, Germany",Peter Jackson,tt0110005,1994
212,"Sinbad, Phil Hartman, Kim Greist, Kim Murphy",USA,Randall Miller,tt0110066,1995
213,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini, Johanna ter Steege","UK, USA",Bernard Rose,tt0110116,1994
214,"David Goldman, Joseph Wayne Miller, Cody Burger, Allen Covert",USA,Steven Brill,tt0110006,1995
215,"Christopher Lambert, John Lone, Joan Chen, Yoshio Harada",USA,J.F. Lawton,tt0113360,1995
216,"Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi",USA,Fred Schepisi,tt0110099,1994
217,"Brad Pitt, Christian Slater, Virginia McCollam, John McConnell",USA,Neil Jordan,tt0110148,1994
218,"Nick Nolte, Gwyneth Paltrow, Estelle Eonnet, Thandie Newton","USA, France",James Ivory,tt0113463,1995
219,"John G. Brennan, Kamal Ahmed, Alan Arkin, William Hickey",USA,James Melkonian,tt0110189,1995
220,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella",USA,Ivan Reitman,tt0110216,1994
221,"Sean Connery, Laurence Fishburne, Kate Capshaw, Blair Underwood",USA,Arne Glimcher,tt0113501,1995
222,"Thomas Ian Nicholas, Joss Ackland, Art Malik, Paloma Baeza","USA, Hungary, UK",Michael Gottlieb,tt0113538,1995
223,"David Caruso, Samuel L. Jackson, Nicolas Cage, Helen Hunt",USA,Barbet Schroeder,tt0113552,1995
224,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",USA,George Lucas,tt0076759,1977
225,"Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis","USA, Canada",Gillian Armstrong,tt0110367,1994
226,"Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer",USA,Alfonso Cuarón,tt0113670,1995
227,"Crissy Rock, Vladimir Vega, Sandie Lavelle, Mauricio Venegas",UK,Ken Loach,tt0110296,1994
228,"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez",Mexico,Alfonso Arau,tt0103994,1992
229,"Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond",USA,Edward Zwick,tt0110322,1994
230,"Damon Wayans, Michael Ironside, Bam Bam Bigelow, Joseph Blaire",USA,Nick Castle,tt0110443,1995
